Date,Open,High,Low,Close,Volume
2016-10-23 08:00:00,664.99,671.4,656.04,659.03,5729.983524180044
2016-10-24 08:00:00,658.36,659.41,654.01,654.65,5695.450238160037
2016-10-25 08:00:00,654.35,670,652.6,659.52,5525.770698390025
2016-10-26 08:00:00,659.49,685.84,658.46,678.7,11694.720757400068
2016-10-27 08:00:00,678.7,690.92,676.69,688.67,12929.474086950087
2016-10-28 08:00:00,688.29,695.34,681.08,693.47,10104.627257420096
2016-10-29 08:00:00,693.32,724,691.42,714.51,15281.359784630075
2016-10-30 08:00:00,714.74,716.66,696.96,702.55,12196.454812390166
2016-10-31 08:00:00,702.57,709,687.6,701.02,8567.8597169401
2016-11-01 08:00:00,701.01,746.55,701.01,734.6,22309.542561319686
2016-11-02 08:00:00,734.6,751.47,723.59,750.85,9392.42912698002
2016-11-03 08:00:00,751.1,754.66,676,692.51,28203.16502612969
2016-11-04 08:00:00,692.66,710.9,686.42,707.62,14558.285655530168
2016-11-05 08:00:00,708.15,713.88,700.82,708.89,6022.2599656300035
2016-11-06 08:00:00,709.14,721.61,700.01,713.95,7163.328968670041
2016-11-07 08:00:00,713.8,713.8,700.02,705.55,3788.6124545300254
2016-11-08 08:00:00,705.42,717.99,703,711.99,9870.580001880071
2016-11-09 08:00:00,711.98,743.06,708.5,724.54,15100.099573310139
2016-11-10 08:00:00,723.37,725,709.13,714.87,4457.544065070043
2016-11-11 08:00:00,714.87,719.37,712.03,716.22,4914.198729490022
2016-11-12 08:00:00,716.61,716.99,700.1,703.57,5914.206991909925
2016-11-13 08:00:00,703.56,706.47,687.6,703.64,8691.960063930057
2016-11-14 08:00:00,703.61,709.91,698.76,707.43,6011.546517310056
2016-11-15 08:00:00,707.44,720.05,707.4,712.17,7936.3304322799895
2016-11-16 08:00:00,712,747.49,710,744.98,17948.506714280073
2016-11-17 08:00:00,744.98,763.85,735,740.67,14889.308746890238
2016-11-18 08:00:00,740.01,759.89,734.5,753.97,6962.710856610069
2016-11-19 08:00:00,753.91,759.99,740,752.9,6044.662876000015
2016-11-20 08:00:00,752.17,757,711.16,729.67,13912.623805400159
2016-11-21 08:00:00,729.68,740.6,728.08,738.99,7200.785115300063
2016-11-22 08:00:00,739,753.91,733.25,749.85,9485.316539920022
2016-11-23 08:00:00,749.85,750.91,730.79,742,5581.257493390057
2016-11-24 08:00:00,741.99,744.32,727.61,737.61,6069.217533030181
2016-11-25 08:00:00,737.67,741.12,730,740.36,4062.2591371601047
2016-11-26 08:00:00,739.77,740.99,720,731.19,4490.186855769996
2016-11-27 08:00:00,731.27,736.19,722.5,724.9,3495.317800630566
2016-11-28 08:00:00,724.99,734.99,724.99,731.52,4139.058986310415
2016-11-29 08:00:00,731.52,734.89,728.68,731.05,5649.696318160012
2016-11-30 08:00:00,731.06,743.14,728.98,739,5529.651951590084
2016-12-01 08:00:00,739,756,738.8,755.36,13400.312864070085
2016-12-02 08:00:00,755.42,779.21,755.15,774.88,13415.18994303043
2016-12-03 08:00:00,774.87,774.87,755.98,765.46,5730.443186380091
2016-12-04 08:00:00,765.98,769.99,758.82,768.5,4202.675894990003
2016-12-05 08:00:00,768.5,769,744.59,750.62,10067.87220188007
2016-12-06 08:00:00,750.85,758.5,750.44,757.36,5279.311020490088
2016-12-07 08:00:00,757.18,774.92,746.16,765.01,10694.954416790059
2016-12-08 08:00:00,765.02,773.2,762.66,765.01,4751.019449470017
2016-12-09 08:00:00,765.01,772.72,765,770.5,3651.7650705899955
2016-12-10 08:00:00,770.5,777.77,769.99,772.9,3364.7760004099987
2016-12-11 08:00:00,773.01,773.73,761.84,770.21,4144.94343010001
2016-12-12 08:00:00,770.21,785,770.21,777.99,6758.339761560031
2016-12-13 08:00:00,777.99,788.87,762.89,775,5581.844002780043
2016-12-14 08:00:00,775,781.16,771.15,774.49,3680.6956905700135
2016-12-15 08:00:00,774.5,780.12,774.5,777.43,3184.8220299600257
2016-12-16 08:00:00,777.78,785.06,775.85,784.17,4774.942175750037
